Source IP,Destination IP,First_Timestamp,Total_Length,Packet_Count
34.232.198.21,192.168.68.95,2023-12-12 04:00:38.028468992,528,5
44.215.128.99,192.168.68.95,2023-12-12 04:00:38.807235840,8761,13
44.215.139.9,192.168.68.95,2023-12-12 04:00:39.317227008,7261,10
44.242.57.157,192.168.68.95,2023-12-12 04:00:33.626368000,28136,121
52.218.236.107,192.168.68.95,2023-12-12 04:00:38.608495872,8537,16
52.36.157.23,192.168.68.95,2023-12-12 04:00:34.632299008,6979,97
52.37.21.162,192.168.68.95,2023-12-12 04:00:33.603784960,3249,13
52.41.230.173,192.168.68.95,2023-12-12 04:00:33.406971904,1603,12
52.46.128.147,192.168.68.95,2023-12-12 04:00:33.777267968,938,1
54.191.157.217,192.168.68.95,2023-12-12 04:00:33.990440960,5395,14
54.69.95.181,192.168.68.95,2023-12-12 04:00:35.500838144,606,5
64.233.177.105,192.168.68.95,2023-12-12 04:00:40.891352064,66,1
64.233.177.147,192.168.68.95,2023-12-12 04:00:38.904333056,66,1
65.8.161.122,192.168.68.95,2023-12-12 04:00:35.965850112,495978,386
65.8.161.25,192.168.68.95,2023-12-12 04:00:39.400865024,213,3
65.8.161.65,192.168.68.95,2023-12-12 04:00:33.959326976,426,6
74.125.138.157,192.168.68.95,2023-12-12 04:00:39.089404160,187,2
74.125.138.94,192.168.68.95,2023-12-12 04:00:39.383450112,132,2
99.181.107.48,192.168.68.95,2023-12-12 04:00:34.224468992,3076129,2123
99.181.107.54,192.168.68.95,2023-12-12 04:00:37.700835840,4366172,3119
99.181.127.5,192.168.68.95,2023-12-12 04:00:33.518711040,125117,96
